NBody1 100 body 10 iterazioni 8 processi
Body 0: x-> 0.390094, y-> -0.047339, z-> 0.442197, vx-> -6.120564, vy-> 2.975125, vz-> -1.731016
Body 1: x-> -0.130994, y-> 0.483934, z-> -0.203888, vx-> 3.820221, vy-> -0.848334, vz-> 4.643294
Body 2: x-> -0.175242, y-> 0.057904, z-> 0.598268, vx-> -1.639592, vy-> -1.855055, vz-> -6.248526
Body 3: x-> -0.599456, y-> 0.155534, z-> -0.676653, vx-> 2.887989, vy-> -0.646105, vz-> 4.956114
Body 4: x-> -0.569293, y-> -0.041249, z-> -0.531921, vx-> 3.188080, vy-> 1.883125, vz-> 4.271034
Body 5: x-> 0.223241, y-> 0.350375, z-> 0.322456, vx-> 0.313342, vy-> -4.620903, vz-> -0.268467
Body 6: x-> 0.172453, y-> 0.581134, z-> -0.383904, vx-> 1.118037, vy-> -8.869896, vz-> 2.746804
Body 7: x-> -0.230115, y-> 0.681542, z-> -0.159520, vx-> -3.105538, vy-> -3.720742, vz-> 4.369992
Body 8: x-> -0.686051, y-> 0.648835, z-> 0.114149, vx-> 4.099723, vy-> -4.188637, vz-> 0.861381
Body 9: x-> 0.475608, y-> -0.234458, z-> -0.674733, vx-> -4.894416, vy-> 1.429948, vz-> 4.820416
Body 10: x-> 0.105630, y-> 0.422692, z-> 0.630277, vx-> 9.905563, vy-> -8.080902, vz-> -3.822426
Body 11: x-> -0.112332, y-> 0.369303, z-> 0.218918, vx-> 1.957815, vy-> -2.571175, vz-> 5.217026
Body 12: x-> -0.155076, y-> 0.520682, z-> 0.620317, vx-> -0.397298, vy-> -7.197839, vz-> -5.659900
Body 13: x-> 0.033502, y-> 0.975978, z-> 0.218767, vx-> -5.189940, vy-> 20.003733, vz-> -2.555916
Body 14: x-> 0.414622, y-> -0.201478, z-> -0.389645, vx-> -4.996314, vy-> 1.318919, vz-> 10.847488
Body 15: x-> 0.667826, y-> 0.152365, z-> 0.456231, vx-> -5.857557, vy-> -0.145558, vz-> 2.141043
Body 16: x-> -0.001176, y-> 0.756178, z-> 3.288434, vx-> 2.593032, vy-> 3.246544, vz-> 48.921169
