NBody2 100 body 10 iterazioni 4 processi
Body 0: x-> 0.390094, y-> -0.047339, z-> 0.442197, vx-> -6.120565, vy-> 2.975124, vz-> -1.731018
Body 1: x-> -0.130994, y-> 0.483934, z-> -0.203887, vx-> 3.820223, vy-> -0.848338, vz-> 4.643301
Body 2: x-> -0.175242, y-> 0.057904, z-> 0.598269, vx-> -1.639597, vy-> -1.855072, vz-> -6.248510
Body 3: x-> -0.599456, y-> 0.155534, z-> -0.676653, vx-> 2.887988, vy-> -0.646102, vz-> 4.956119
Body 4: x-> -0.569293, y-> -0.041249, z-> -0.531921, vx-> 3.188080, vy-> 1.883124, vz-> 4.271042
Body 5: x-> 0.223242, y-> 0.350375, z-> 0.322456, vx-> 0.313348, vy-> -4.620903, vz-> -0.268458
Body 6: x-> 0.172453, y-> 0.581134, z-> -0.383904, vx-> 1.118049, vy-> -8.869914, vz-> 2.746795
Body 7: x-> -0.230116, y-> 0.681542, z-> -0.159520, vx-> -3.105555, vy-> -3.720738, vz-> 4.370000
Body 8: x-> -0.686051, y-> 0.648835, z-> 0.114149, vx-> 4.099723, vy-> -4.188638, vz-> 0.861381
Body 9: x-> 0.475608, y-> -0.234458, z-> -0.674733, vx-> -4.894416, vy-> 1.429947, vz-> 4.820417
Body 10: x-> 0.105630, y-> 0.422692, z-> 0.630277, vx-> 9.905571, vy-> -8.080911, vz-> -3.822427
Body 11: x-> -0.112332, y-> 0.369303, z-> 0.218918, vx-> 1.957813, vy-> -2.571177, vz-> 5.217031
Body 12: x-> -0.155076, y-> 0.520682, z-> 0.620318, vx-> -0.397300, vy-> -7.197837, vz-> -5.659898
Body 13: x-> 0.033502, y-> 0.975977, z-> 0.218767, vx-> -5.189937, vy-> 20.003712, vz-> -2.555925
Body 14: x-> 0.414622, y-> -0.201478, z-> -0.389645, vx-> -4.996314, vy-> 1.318922, vz-> 10.847484
Body 15: x-> 0.667826, y-> 0.152365, z-> 0.456231, vx-> -5.857558, vy-> -0.145559, vz-> 2.141043
Body 16: x-> -0.001175, y-> 0.756181, z-> 3.288447, vx-> 2.593045, vy-> 3.246597, vz-> 48.921387
Body 17: x-> 0.791641, y-> 0.713817, z-> -0.622740, vx-> -2.716279, vy-> -2.526196, vz-> 1.672786
Body 18: x-> 0.088297, y-> -0.012295, z-> 0.283872, vx-> -4.147961, vy-> 7.653894, vz-> -1.449347
Body 19: x-> -0.470284, y-> -0.331202, z-> 0.248750, vx-> 3.799994, vy-> 4.057082, vz-> 1.210812
Body 20: x-> -0.581298, y-> -0.508553, z-> -1.262754, vx-> 3.790610, vy-> 2.196047, vz-> -25.272949
Body 21: x-> 0.140793, y-> -1.649083, z-> 0.483587, vx-> -2.835074, vy-> -21.612461, vz-> 0.755370
Body 22: x-> 0.184090, y-> -0.811261, z-> -0.396055, vx-> -0.507195, vy-> -3.612174, vz-> 4.942338
Body 23: x-> -0.415610, y-> 0.376062, z-> -0.676328, vx-> 3.519372, vy-> -1.331263, vz-> 3.307480
Body 24: x-> -1.154114, y-> -0.139286, z-> 1.378252, vx-> -8.273281, vy-> 5.286916, vz-> 11.183970
Body 25: x-> 0.285712, y-> 0.392604, z-> -0.622011, vx-> 1.004933, vy-> -2.163453, vz-> 4.700791
