NBody2 100 body 10 iterazioni 8 processi
Body 51: x-> 0.276895, y-> -0.465846, z-> -0.302624, vx-> 15.456427, vy-> -0.136903, vz-> -16.581806
Body 52: x-> 0.142933, y-> -0.550901, z-> -0.395967, vx-> 1.340098, vy-> -3.389646, vz-> 6.559037
Body 53: x-> 0.029525, y-> -0.254857, z-> 0.325844, vx-> -1.051298, vy-> 1.842851, vz-> -6.739114
Body 54: x-> 0.227209, y-> -0.568013, z-> -0.535843, vx-> 4.548001, vy-> 3.095140, vz-> -0.463220
Body 55: x-> 0.614307, y-> 0.216118, z-> 0.499136, vx-> -4.435653, vy-> -1.016108, vz-> -3.415034
Body 56: x-> -0.306314, y-> 0.019097, z-> 0.234578, vx-> -0.511024, vy-> -5.534445, vz-> 2.984236
Body 57: x-> -0.561573, y-> 0.204058, z-> -0.244426, vx-> 4.629302, vy-> -1.451452, vz-> 1.235807
Body 58: x-> -0.139496, y-> 0.340745, z-> 0.274051, vx-> -0.009969, vy-> -10.066987, vz-> 0.494013
Body 59: x-> -0.014225, y-> -0.468277, z-> 0.464957, vx-> 0.620088, vy-> 2.212809, vz-> -7.095682
Body 60: x-> 0.583476, y-> 0.086893, z-> 0.459882, vx-> 7.588747, vy-> 3.732454, vz-> -2.675044
Body 61: x-> 0.302383, y-> 0.287199, z-> 0.595639, vx-> -2.866810, vy-> -0.625647, vz-> -6.536281
Body 62: x-> -0.005378, y-> -0.556803, z-> 0.452226, vx-> 1.638396, vy-> 10.640404, vz-> -1.193930
Body 63: x-> 0.385446, y-> 0.377588, z-> -0.511297, vx-> -5.461068, vy-> -1.406807, vz-> 9.212681
Body 64: x-> -0.237606, y-> 0.186999, z-> 0.339742, vx-> 10.396320, vy-> 0.282355, vz-> -1.901986
Body 65: x-> -0.401492, y-> 0.065138, z-> 0.320527, vx-> 0.890561, vy-> -4.705988, vz-> -4.118190
Body 66: x-> -0.565526, y-> 0.135080, z-> -2.889597, vx-> -6.708940, vy-> -7.038300, vz-> -52.988838
Body 67: x-> 0.066715, y-> 0.026653, z-> 0.329000, vx-> -1.605632, vy-> -1.011258, vz-> 2.114351
Body 68: x-> -0.105100, y-> -0.362720, z-> 0.302975, vx-> -0.604132, vy-> 5.470708, vz-> 1.540163
Body 69: x-> -0.515653, y-> 0.517260, z-> -0.727650, vx-> 1.438769, vy-> -3.566937, vz-> 3.100765
Body 70: x-> -0.015030, y-> -0.437182, z-> 0.404304, vx-> -0.868980, vy-> 4.101948, vz-> -3.847122
Body 71: x-> 0.267757, y-> 0.369358, z-> 0.234133, vx-> 8.921287, vy-> -1.682008, vz-> -2.650423
